a52dec 0.7.4-10
perl-mailtools 2.21-2
perl-timedate 2.30-6
perl-uri 1.76-2
pinentry 1.1.0-4
pixman 0.38.4-1
pkgconf 1.6.3-1
polkit 0.116-2
polybar 3.4.0-2
poppler 0.79.0-1
popt 1.16-10
potrace 1.15-1
powerline 2.7-3
powerline-common 2.7-3
powerline-fonts 2.7-3
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-bluetooth 12.2-2
pygobject-devel 3.32.2-1
python 3.7.4-1
python-cairo 1.18.1-1
python-gobject 3.32.2-1
python-powerline 2.7-3
python2 2.7.16-1
python2-appdirs 1.4.3-2
python2-packaging 19.0-1
python2-pyparsing 2.4.2-1
python2-setuptools 1:41.0.1-1
python2-six 1.12.0-1
python2-virtualenv 16.1.0-1
qt5-base 5.13.0-7
qt5-svg 5.13.0-1
qt5-x11extras 5.13.0-1
ranger 1.9.2-1
re2 20190801-1
readline 8.0.0-1
redshift 1.12-2
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.8-1
rhythmbox 3.4.3-1
ripgrep 11.0.2-1
rtkit 0.12-1
run-parts 4.8.6.1-1
rust 1:1.36.0-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.14-1
sbc 1.4-1
sdl 1.2.15-10
sdl2 2.0.10-1
sed 4.7-1
shadow 4.7-1
shared-mime-info 1.12-1
skypeforlinux-stable-bin 8.51.0.92-1
slang 2.3.2-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
sqlite 3.29.0-1
startup-notification 0.12-6
sublime-text-dev 3.3207-1
sudo 1.8.27-1
sysfsutils 2.1.0-10
systemd 242.84-1
systemd-libs 242.84-1
systemd-sysvcompat 242.84-1
t1lib 5.1.2-7
taglib 1.11.1-3
tar 1.32-1
tcl 8.6.9-2
tclcl 1.20-6
tdb 1.3.18-2
texinfo 6.6-1
texlive-bibtexextra 2019.50908-1
texlive-bin 2019.51075-2
texlive-core 2019.50917-1
texlive-fontsextra 2019.50876-1
texlive-formatsextra 2019.50602-1
texlive-games 2019.50815-1
texlive-humanities 2019.50921-1
texlive-latexextra 2019.50920-1
texlive-music 2019.50602-1
texlive-pictures 2019.50872-1
texlive-pstricks 2019.50587-1
texlive-publishers 2019.50915-1
texlive-science 2019.50760-1
thin-provisioning-tools 0.8.5-2
thunar 1.8.8-1
thunderbird 60.8.0-1
tk 8.6.9.1-2
totem-plparser 3.26.3-1
transmission-gtk 2.94-1
tslib 1.20-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.10.0-1
ttf-font-awesome-4 4.7.0-5
ttf-inconsolata 1:2.0.0.1-3
ttf-linux-libertine 5.3.0-4
ttf-material-design-icons 3.0.1-1
ttf-ms-fonts 2.0-10
ttf-ubuntu-font-family 0.83-5
twolame 0.3.13-8
tzdata 2019b-1
unzip 6.0-13
usbutils 010-1
util-linux 2.34-3
v4l-utils 1.16.6-1
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.1776-1
vim-runtime 8.1.1776-1
virtualbox 6.0.10-1
virtualbox-host-modules-arch 6.0.10-6
vlc 3.0.7.1-2
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
which 2.21-3
wpa_supplicant 2:2.8-1
x264 2:157.r72db4377-1
x265 3.1.2-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xf86-input-libinput 0.28.2-1
xf86-input-synaptics 1.9.1-1
xf86-video-vesa 2.4.0-2
xfconf 4.12.1-7
xfsprogs 4.20.0-2
